,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,tm
0,2025-09-01T08:00:00,93,1207,69,44,2,2,5,5,3,2,4,yoghurt,swim,strangers,cafe,Yes,Yes,2025-09-01 08:00:00
1,2025-09-01T10:00:00,142,1773,54,56,4,2,6,5,1,4,3,fruit,swim,partner,street,Yes,Yes,2025-09-01 10:00:00
2,2025-09-01T12:00:00,96,1077,35,56,4,2,1,2,2,4,2,milk,tennis,neighbours,home,Yes,Yes,2025-09-01 12:00:00
3,2025-09-01T14:00:00,79,845,52,69,2,3,4,2,6,4,3,yoghurt,golf,relatives,office,Yes,Yes,2025-09-01 14:00:00
4,2025-09-01T16:00:00,134,1364,69,46,7,6,6,2,4,5,4,fruit,yoga,neighbours,office,Yes,Yes,2025-09-01 16:00:00
5,2025-09-01T18:00:00,128,885,42,60,1,5,7,4,2,4,3,oatmeal,golf,neighbours,park,Yes,Yes,2025-09-01 18:00:00
6,2025-09-01T20:00:00,123,1672,63,53,4,2,3,3,3,1,3,yoghurt,yoga,strangers,street,Yes,Yes,2025-09-01 20:00:00
7,2025-09-01T22:00:00,62,1634,56,38,5,5,2,3,4,5,6,cracker,walk,relatives,home,Yes,Yes,2025-09-01 22:00:00
8,2025-09-02T00:00:00,97,1519,40,49,6,3,2,3,2,3,7,bread,bike,strangers,office,,,2025-09-02 00:00:00
9,2025-09-02T02:00:00,88,1117,62,69,6,7,4,2,2,6,2,milk,bike,strangers,store,Yes,Yes,2025-09-02 02:00:00
10,2025-09-02T04:00:00,83,440,38,66,5,2,5,6,3,4,3,yoghurt,golf,partner,office,Yes,Yes,2025-09-02 04:00:00
11,2025-09-02T06:00:00,91,485,47,39,3,5,3,6,1,2,6,yoghurt,yoga,colleagues,street,Yes,Yes,2025-09-02 06:00:00
12,2025-09-02T08:00:00,85,1013,61,53,5,4,4,3,1,2,3,fruit,swim,relatives,store,Yes,Yes,2025-09-02 08:00:00
13,2025-09-02T10:00:00,105,1557,32,42,1,3,4,4,5,2,5,fruit,tennis,strangers,cafe,Yes,Yes,2025-09-02 10:00:00
14,2025-09-02T12:00:00,61,921,65,39,3,6,4,2,4,3,1,oatmeal,tennis,partner,home,,,2025-09-02 12:00:00
