,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2,tm
0,2025-09-01T08:00:00,5,4,2,7,6,5,3,5,5,5,6,2,5,6,2,milk,golf,strangers,park,,,,,2025-09-01 08:00:00
1,2025-09-01T10:00:00,2,2,4,5,6,4,1,7,2,3,5,3,3,3,1,fruit,bike,strangers,office,,,,,2025-09-01 10:00:00
2,2025-09-01T12:00:00,5,6,5,4,2,1,4,3,6,2,2,2,3,2,3,oatmeal,golf,friends,cafe,,Yes,,Yes,2025-09-01 12:00:00
3,2025-09-01T14:00:00,4,5,2,2,3,2,4,3,6,6,6,4,5,3,6,oatmeal,golf,colleagues,cafe,,Yes,,Yes,2025-09-01 14:00:00
4,2025-09-01T16:00:00,1,4,3,4,4,5,4,6,1,4,2,4,1,3,3,oatmeal,golf,colleagues,office,,Yes,,Yes,2025-09-01 16:00:00
5,2025-09-01T18:00:00,2,4,3,4,5,4,4,3,2,2,4,1,2,6,4,oatmeal,swim,strangers,office,,Yes,,Yes,2025-09-01 18:00:00
6,2025-09-01T20:00:00,6,4,6,4,3,4,4,1,2,4,4,2,5,1,6,oatmeal,yoga,neighbours,office,,Yes,,Yes,2025-09-01 20:00:00
7,2025-09-01T22:00:00,4,1,1,4,2,7,6,1,5,6,3,4,4,6,7,yoghurt,swim,strangers,cafe,,,,,2025-09-01 22:00:00
8,2025-09-02T00:00:00,7,1,2,5,4,7,2,5,3,4,3,3,2,4,3,oatmeal,swim,friends,park,Yes,,Yes,,2025-09-02 00:00:00
9,2025-09-02T02:00:00,7,6,7,5,5,3,2,3,3,3,2,5,5,6,4,oatmeal,yoga,relatives,park,Yes,,Yes,,2025-09-02 02:00:00
10,2025-09-02T04:00:00,2,6,4,2,2,4,5,1,4,3,4,3,5,1,2,fruit,walk,colleagues,park,,,,,2025-09-02 04:00:00
11,2025-09-02T06:00:00,4,5,3,4,4,1,6,2,2,3,4,3,3,4,2,fruit,walk,strangers,cafe,,,,,2025-09-02 06:00:00
12,2025-09-02T08:00:00,2,6,2,4,1,3,1,2,1,1,3,4,1,3,1,bread,bike,friends,store,,,,,2025-09-02 08:00:00
13,2025-09-02T10:00:00,5,4,3,2,2,4,3,2,5,6,5,5,4,3,3,yoghurt,bike,partner,cafe,,,,,2025-09-02 10:00:00
14,2025-09-02T12:00:00,4,3,1,5,2,5,5,6,2,6,4,5,4,5,5,cracker,golf,relatives,store,,,,,2025-09-02 12:00:00
