,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,89,713,56,53,6,3,4,7,2,6,bread,golf,colleagues,street,,,,
1,2025-09-01T10:00:00,74,1278,45,51,3,3,6,7,1,5,yoghurt,swim,partner,store,,,,
2,2025-09-01T12:00:00,119,1727,52,65,5,5,6,6,5,2,oatmeal,yoga,strangers,home,,Yes,,Yes
3,2025-09-01T14:00:00,67,1208,33,59,5,1,6,3,3,3,cracker,swim,colleagues,home,Yes,,Yes,
4,2025-09-01T16:00:00,108,955,32,42,4,4,3,4,4,3,yoghurt,bike,colleagues,home,Yes,,Yes,
5,2025-09-01T18:00:00,93,1767,38,69,4,2,3,3,4,3,oatmeal,swim,neighbours,home,Yes,,Yes,
6,2025-09-01T20:00:00,65,465,57,35,6,2,3,7,2,2,milk,bike,partner,cafe,,,,
7,2025-09-01T22:00:00,106,1602,47,47,7,1,6,4,1,6,yoghurt,yoga,relatives,home,Yes,,Yes,
8,2025-09-02T00:00:00,63,805,43,60,4,6,7,4,5,7,bread,yoga,strangers,home,Yes,,Yes,
9,2025-09-02T02:00:00,99,602,53,36,5,2,2,5,5,4,oatmeal,yoga,friends,home,,Yes,,Yes
10,2025-09-02T04:00:00,66,565,48,50,1,2,2,7,4,4,cracker,swim,friends,office,,,,
11,2025-09-02T06:00:00,68,832,42,32,5,3,2,1,2,2,oatmeal,golf,relatives,park,,,,
12,2025-09-02T08:00:00,98,1543,62,57,5,6,2,7,1,2,milk,bike,partner,office,,,,
13,2025-09-02T10:00:00,134,653,58,61,7,1,4,2,1,3,bread,yoga,relatives,cafe,,,,
14,2025-09-02T12:00:00,71,1214,40,53,6,4,5,4,2,3,cracker,bike,colleagues,home,Yes,,Yes,
